"course","lng","lat","Estblsh","Age_yrs","Mn_prtc","Mn_vlnt"
"brooklands",0.543354,51.346958,"2018-11-17",0.3,260.3,21.7
"fletchermoss",-2.231866,53.409252,"2018-11-17",0.3,190.3,22.7
"henleywood",-3.030152,52.862767,"2018-10-20",0.4,154.9,31.6
"jerseyfarm",-0.308582,51.773097,"2018-11-10",0.3,139.8,24.3
"marketrasenracecourse",-0.315743,53.381506,"2018-11-03",0.4,135.6,22.2
"myrtle",-1.8411013,53.846333,"2018-11-03",0.4,268.8,26.2
"potternewton",-1.5975042,53.818494,"2018-11-17",0.3,195,24.3
"somerdalepavilion",-2.495692,51.426516,"2018-11-17",0.3,146.7,19.3
"lowestoft",1.745482,52.466508,"2015-10-31",3.4,203.2,12.5
"gorleston",1.72893,52.563491,"2009-04-25",9.9,167.7,14.3
"frittonlake",1.652713,52.543973,"2012-05-05",6.9,59,6.8
"sizewell",1.62233,52.21019,"2018-08-25",0.5,105.5,10.4
"brundall",1.414661,52.624447,"2015-06-20",3.7,119.1,11.8
"margate",1.412516,51.391976,"2013-04-27",5.9,64.4,10.1
"walmeranddealseafront",1.403171,51.209444,"2018-09-15",0.5,175.9,27.8
"pegwellbay",1.358013,51.319429,"2013-05-11",5.8,117.6,14.8
"felixstowe",1.345696,51.957768,"2018-04-07",0.9,218.4,21.3
"catton",1.297288,52.658659,"2013-10-05",5.4,245.8,20
"harwich",1.284856,51.937834,"2015-08-01",3.6,96.4,12.7
"norwich",1.2586536,52.6206114,"2010-08-07",8.6,382,17.2
"kesgrave",1.248236,52.057135,"2014-09-20",4.5,284,31.5
"mulbarton",1.235253,52.563197,"2013-03-16",6,78,6.8
"colneylane",1.225181,52.621391,"2017-12-09",1.3,160.3,20.2
"blickling",1.219397,52.815628,"2013-11-09",5.3,149.6,14.5
"folkestone",1.169872,51.075461,"2014-08-16",4.6,156.4,16.2
"sheringham",1.168413,52.930637,"2012-11-03",6.4,136.9,12.8
"clactonseafront",1.142967,51.781574,"2016-10-15",2.4,114.9,14.2
"ipswich",1.116425,52.051155,"2012-09-08",6.5,239.8,28.1
"canterbury",1.0566713,51.2989755,"2014-03-15",5,98.6,16.9
"whitstable",1.041942,51.365297,"2010-11-06",8.4,179.2,24
"merseaisland",0.9937476,51.7913413,"2016-12-17",2.2,88,17.6
"colchestercastle",0.903548,51.89177,"2013-04-06",5.9,269.6,24.1
"ashford",0.859466,51.14511,"2013-10-26",5.4,168.7,18.3
"burnhamoncrouch",0.810703,51.627402,"2017-07-22",1.6,94.9,14.3
"holkham",0.800972,52.950118,"2015-12-12",3.2,132.9,12.9
"southend",0.786917,51.523765,"2012-10-13",6.4,246.4,17.3
"greatcornard",0.752735,52.023438,"2014-03-01",5,100.6,21.1
"sittingbourne",0.7424998,51.35573,"2016-02-27",3,165,22
"thetford",0.738358,52.415482,"2013-02-23",6,164.3,16
"burystedmunds",0.733895,52.222857,"2013-06-29",5.7,192.3,12.4
"maldonprom",0.693426,51.726071,"2013-08-31",5.5,212.5,16.2
"swaffham",0.688486,52.638622,"2018-05-26",0.8,76.4,13.4
"hockleywoods",0.649138,51.596028,"2015-02-07",4.1,187,18
"brandoncountrypark",0.621114,52.437046,"2013-03-09",6,82.2,11.4
"southwoodhamferrers",0.61296,51.631637,"2018-03-10",1,103.1,19.8
"hadleigh",0.596035,51.549758,"2016-10-22",2.4,115.1,17
"clarecastle",0.583091,52.076638,"2017-09-30",1.4,110.6,17.6
"hastings",0.539789,50.850283,"2015-04-18",3.9,199.4,23
"greatlines",0.536313,51.385629,"2013-09-28",5.5,293,32.8
"greatnotley",0.515242,51.861917,"2014-06-28",4.7,189.5,24.9
"maidstone",0.510435,51.289567,"2013-04-13",5.9,290.7,23.2
"basildon",0.497797,51.576763,"2014-04-05",4.9,150.5,19.7
"chelmsfordcentral",0.456877,51.734577,"2013-01-19",6.1,445.9,30.5
"bedgeburypinetum",0.45077,51.072507,"2016-03-19",3,117.9,14.9
"malling",0.437286,51.315352,"2015-10-03",3.4,168.2,12.5
"haverhill",0.421826,52.076941,"2018-03-10",1,74.1,15.2
"shornewoods",0.418639,51.404468,"2013-03-30",6,170.5,18.2
"billericay",0.417486,51.632986,"2017-06-24",1.7,225.8,27.1
"kingslynn",0.40525,52.751996,"2011-09-10",7.5,188.3,14.4
"thurrock",0.363257,51.491574,"2015-10-10",3.4,67.4,14.5
"greatdunmow",0.36266,51.87867,"2018-04-14",0.9,112.9,23.8
"littleport",0.299386,52.463037,"2018-06-23",0.7,152,21.7
"eastbourne",0.286503,50.804009,"2012-01-28",7.1,180,18.8
"royaltunbridgewells",0.283799,51.130569,"2014-04-26",4.9,167.3,19.7
"brentwood",0.265603,51.624225,"2014-12-06",4.3,132.6,18.8
"tonbridge",0.260324,51.194729,"2013-11-09",5.3,369.5,26.7
"dartford",0.219748,51.439176,"2014-07-26",4.6,170,18.9
"harrowlodge",0.201445,51.557489,"2013-01-12",6.2,107.2,15.6
"raphael",0.192872,51.586463,"2015-05-02",3.9,188.2,22.2
"dartfordheath",0.190158,51.435999,"2018-05-12",0.8,97.1,14.8
"lullingstone",0.187143,51.353144,"2015-04-11",3.9,49.6,13.3
"cambridge",0.164623,52.237643,"2010-01-30",9.1,353.2,29.9
