course,lng,lat,Estblsh
brooklands,0.543354,51.346958,2018-11-17
fletchermoss,-2.231866,53.409252,2018-11-17
henleywood,-3.030152,52.862767,2018-10-20
jerseyfarm,-0.308582,51.773097,2018-11-10
marketrasenracecourse,-0.315743,53.381506,2018-11-03
myrtle,-1.8411013,53.846333,2018-11-03
potternewton,-1.5975042,53.818494,2018-11-17
somerdalepavilion,-2.495692,51.426516,2018-11-17
lowestoft,1.745482,52.466508,2015-10-31
gorleston,1.72893,52.563491,2009-04-25
frittonlake,1.652713,52.543973,2012-05-05
sizewell,1.62233,52.21019,2018-08-25
brundall,1.414661,52.624447,2015-06-20
margate,1.412516,51.391976,2013-04-27
walmeranddealseafront,1.403171,51.209444,2018-09-15
pegwellbay,1.358013,51.319429,2013-05-11
felixstowe,1.345696,51.957768,2018-04-07
catton,1.297288,52.658659,2013-10-05
harwich,1.284856,51.937834,2015-08-01
norwich,1.2586536,52.6206114,2010-08-07
kesgrave,1.248236,52.057135,2014-09-20
mulbarton,1.235253,52.563197,2013-03-16
colneylane,1.225181,52.621391,2017-12-09
blickling,1.219397,52.815628,2013-11-09
folkestone,1.169872,51.075461,2014-08-16
sheringham,1.168413,52.930637,2012-11-03
clactonseafront,1.142967,51.781574,2016-10-15
ipswich,1.116425,52.051155,2012-09-08
canterbury,1.0566713,51.2989755,2014-03-15
whitstable,1.041942,51.365297,2010-11-06
merseaisland,0.9937476,51.7913413,2016-12-17
colchestercastle,0.903548,51.89177,2013-04-06
ashford,0.859466,51.14511,2013-10-26
burnhamoncrouch,0.810703,51.627402,2017-07-22
holkham,0.800972,52.950118,2015-12-12
southend,0.786917,51.523765,2012-10-13
greatcornard,0.752735,52.023438,2014-03-01
sittingbourne,0.7424998,51.35573,2016-02-27
thetford,0.738358,52.415482,2013-02-23
burystedmunds,0.733895,52.222857,2013-06-29
maldonprom,0.693426,51.726071,2013-08-31
swaffham,0.688486,52.638622,2018-05-26
hockleywoods,0.649138,51.596028,2015-02-07
brandoncountrypark,0.621114,52.437046,2013-03-09
southwoodhamferrers,0.61296,51.631637,2018-03-10
hadleigh,0.596035,51.549758,2016-10-22
clarecastle,0.583091,52.076638,2017-09-30
hastings,0.539789,50.850283,2015-04-18
greatlines,0.536313,51.385629,2013-09-28
greatnotley,0.515242,51.861917,2014-06-28
maidstone,0.510435,51.289567,2013-04-13
basildon,0.497797,51.576763,2014-04-05
chelmsfordcentral,0.456877,51.734577,2013-01-19
bedgeburypinetum,0.45077,51.072507,2016-03-19
malling,0.437286,51.315352,2015-10-03
haverhill,0.421826,52.076941,2018-03-10
shornewoods,0.418639,51.404468,2013-03-30
billericay,0.417486,51.632986,2017-06-24
kingslynn,0.40525,52.751996,2011-09-10
thurrock,0.363257,51.491574,2015-10-10
greatdunmow,0.36266,51.87867,2018-04-14
littleport,0.299386,52.463037,2018-06-23
eastbourne,0.286503,50.804009,2012-01-28
royaltunbridgewells,0.283799,51.130569,2014-04-26
brentwood,0.265603,51.624225,2014-12-06
tonbridge,0.260324,51.194729,2013-11-09
dartford,0.219748,51.439176,2014-07-26
harrowlodge,0.201445,51.557489,2013-01-12
raphael,0.192872,51.586463,2015-05-02
dartfordheath,0.190158,51.435999,2018-05-12
lullingstone,0.187143,51.353144,2015-04-11
cambridge,0.164623,52.237643,2010-01-30
castlepark,0.16417,51.87168,2017-09-30
coldhamscommon,0.154694,52.208409,2018-09-29
footscraymeadows,0.13322,51.432203,2018-07-21
bexley,0.116816,51.454809,2012-02-04
orpington,0.116429,51.367266,2012-09-15
harlow,0.10776,51.779152,2014-11-08
hoblingwell,0.099056,51.402528,2017-07-15
barking,0.086088,51.545348,2012-07-28
march,0.085256,52.550112,2016-01-23
greenwich,0.076368,51.448618,2010-03-06
valentines,0.069609,51.568001,2011-02-19
rodingvalley,0.066497,51.638589,2017-01-14
beckton,0.05373,51.51152,2012-06-02
bromley,0.026564,51.389542,2009-08-29
wansteadflats,0.019054,51.564666,2011-05-21
victoriadock,0.016265,51.50722,2018-03-17
peacehaven,0.01295,50.794122,2017-05-20
eastgrinstead,0.0019383,51.1295123,2017-09-09
gunpowder,-0.004678,51.674525,2011-10-22
beckenhamplace,-0.006019,51.417151,2016-11-19
walthamstow,-0.008004,51.603186,2013-01-26
catford,-0.008664,51.44822,2018-04-28
barclay,-0.02179,51.759858,2015-06-06
hackney-marshes,-0.02422,51.553426,2010-05-29
hillyfields,-0.025685,51.45989,2012-09-08
cleethorpes,-0.026524,53.54102,2014-05-24
mileend,-0.035663,51.522443,2012-02-04
boston,-0.038836,52.990218,2015-10-24
southwark,-0.052587,51.494096,2013-09-07
wimpoleestate,-0.053902,52.140126,2013-01-12
southnorwood,-0.054939,51.399228,2017-07-08
westmill,-0.058901,51.825063,2017-07-22
peckhamrye,-0.059931,51.456935,2014-06-21
crystalpalace,-0.064656,51.419482,2010-05-29
pymmes,-0.070059,51.61763,2011-04-09
lloyd,-0.077119,51.366074,2010-10-23
dulwich,-0.077527,51.445515,2012-04-14
riddlesdown,-0.078921,51.320287,2011-07-02
burgess,-0.090573,51.481837,2012-09-22
finsbury,-0.101109,51.570028,2009-10-31
clair,-0.101237,51.003642,2013-07-20
highburyfields,-0.102739,51.54859,2011-11-12
bevendeandown,-0.106763,50.844613,2016-02-06
brockwell,-0.109134,51.45374,2010-12-11
grovelands,-0.114477,51.633282,2010-07-24
panshanger,-0.118446,51.797469,2014-10-11
roundshaw,-0.119262,51.351737,2009-07-18
manorfieldwhittlesey,-0.12598,52.55186,2018-09-08
allypally,-0.126085,51.594082,2011-12-03
tootingcommon,-0.146685,51.434708,2016-01-30
prestonpark,-0.147393,50.839091,2013-04-20
claphamcommon,-0.152916,51.457167,2018-03-24
oak-hill,-0.156169,51.637517,2011-08-27
hampsteadheath,-0.16398,51.561732,2011-05-14
hovepromenade,-0.165782,50.82318,2015-07-11
sewerby,-0.167456,54.101734,2011-11-05
brighton,-0.173635,50.842641,2007-11-03
tilgate,-0.178614,51.095006,2012-06-09
stevenage,-0.17996,51.902649,2016-05-28
banstead,-0.18548,51.305211,2007-06-16
reigatepriory,-0.208654,51.234622,2014-03-22
huntingdon,-0.209341,52.32776,2013-04-13
fulhampalace,-0.217752,51.471493,2013-10-19
letchworth,-0.222816,51.999883,2018-01-27
wimbledon,-0.227966,51.442372,2007-01-06
nonsuch,-0.232816,51.357526,2011-09-17
gladstone,-0.235305,51.557916,2012-06-30
wormwoodscrubs,-0.242515,51.520841,2011-06-11
ellenbrookfields,-0.254212,51.761835,2016-05-21
pocket,-0.275214,52.214789,2018-06-16
richmond,-0.28367,51.454595,2007-10-20
gunnersbury,-0.290902,51.49632,2011-10-29
canonspark,-0.296406,51.612554,2016-10-08
hull,-0.300837,53.766268,2010-04-03
peterborough,-0.307201,52.564249,2013-08-03
olddeerpark,-0.31045,51.464582,2010-08-21
aldenham,-0.316544,51.64795,2015-06-20
kingston,-0.317659,51.432876,2010-03-20
lancingbeachgreen,-0.323904,50.820611,2018-08-25
horsham,-0.326071,51.066697,2014-09-06
molevalley,-0.3303393,51.2482116,2018-03-17
bushy,-0.3316014,51.4119721,2004-10-02
harrow,-0.34417,51.581757,2015-05-09
osterley,-0.350028,51.489414,2013-08-31
stalbans,-0.351756,51.750401,2012-01-14
worthing,-0.361873,50.811433,2016-06-11
crane,-0.376196,51.443389,2012-06-09
northalafields,-0.379114,51.537073,2014-06-21
southoxhey,-0.393126,51.631531,2015-01-31
peterpan,-0.40239,53.738532,2013-04-13
cassiobury,-0.415678,51.65874,2015-02-28
lutonwardown,-0.417476,51.894516,2015-04-18
hazelwood,-0.420635,51.407331,2018-03-17
bedfont,-0.446792,51.441704,2009-05-09
humberbridge,-0.456018,53.71812,2014-06-07
bedford,-0.464129,52.147395,2011-06-11
gadebridge,-0.47473,51.7613,2015-05-02
rickmansworth,-0.4759097,51.6331291,2017-03-04
cranleigh,-0.495715,51.137126,2014-10-04
greatdenham,-0.509105,52.12158,2018-02-17
houghtonhall,-0.510929,51.901642,2017-12-23
homewood,-0.5386627,51.3656581,2016-10-15
black-park,-0.547814,51.540213,2009-07-18
woking,-0.555046,51.311382,2014-08-16
lincoln,-0.557642,53.208603,2013-11-16
guildford,-0.563736,51.246283,2012-03-10
uptoncourt,-0.580645,51.498725,2012-11-24
beltonhouse,-0.618784,52.941367,2015-11-07
rutlandwater,-0.621414,52.645772,2015-10-24
tring,-0.654931,51.784329,2014-11-01
normanbyhall,-0.6598234,53.6382647,2017-11-04
scunthorpe,-0.66287,53.580761,2013-02-23
bognorregis,-0.668621,50.787693,2014-05-24
rushmere,-0.67493,51.947466,2015-11-07
dalbyforest,-0.686914,54.273842,2016-03-19
corby,-0.691752,52.493024,2013-09-21
kettering,-0.707867,52.381795,2016-09-24
maidenhead,-0.712137,51.510933,2015-03-21
wendoverwoods,-0.715715,51.770267,2018-09-15
miltonkeynes,-0.72084,52.051384,2010-01-16
frimleylodge,-0.722222,51.293324,2010-02-13
wycomberye,-0.740418,51.623905,2012-08-04
rushmoor,-0.760074,51.266131,2014-05-03
linfordwood,-0.760414,52.0586,2016-07-16
gainsborough,-0.770776,53.406272,2015-05-30
bracknell,-0.777712,51.389941,2015-04-04
chichester,-0.778512,50.843362,2014-08-02
higginsonmarlow,-0.779557,51.56626,2018-08-18
newark,-0.822129,53.067678,2013-06-01
aylesbury,-0.826635,51.830474,2013-11-02
aliceholt,-0.839499,51.168614,2012-11-17
hogmoorinclosure,-0.875918,51.111669,2018-03-10
meltonmowbray,-0.878238,52.778801,2015-01-10
dintonpastures,-0.88004,51.440278,2018-07-14
northampton,-0.888648,52.249113,2012-05-05
goole,-0.890649,53.71052,2015-05-30
woodley,-0.903239,51.455511,2012-10-13
henleyonthames,-0.9193,51.532014,2017-07-01
marketharborough,-0.926778,52.475213,2015-04-25
reading,-0.933795,51.464007,2009-09-12
sixfieldsupton,-0.942206,52.228535,2018-02-24
queenelizabeth,-0.972805,50.955399,2013-05-18
buckingham,-0.977526,51.997697,2014-05-17
havant,-0.977762,50.877857,2012-06-16
prospect,-1.007595,51.448542,2018-05-05
heslington,-1.018006,53.949318,2018-01-13
clumberpark,-1.058507,53.268396,2013-06-29
southsea,-1.064644,50.781954,2013-10-05
newearswick,-1.07776,53.990218,2018-04-21
selby,-1.078377,53.751705,2017-12-16
redcar,-1.079256,54.613964,2012-04-28
basingstoke,-1.081047,51.2589,2008-07-05
portsmouthlakeside,-1.081577,50.840416,2016-04-30
sherwoodpines,-1.085311,53.166221,2015-10-24
gedling,-1.087081,52.993979,2015-06-20
doncaster,-1.0878,53.546051,2013-09-28
colwick,-1.095285,52.948638,2011-06-25
york,-1.097646,53.937117,2012-01-14
leicestervictoria,-1.121877,52.623522,2015-11-14
bicester,-1.146913,51.891047,2016-04-16
rushcliffe,-1.149238,52.882818,2012-10-06
flattslane,-1.1516525,54.5441465,2017-09-16
daventry,-1.153135,52.266844,2014-11-08
forestrec,-1.160088,52.965261,2013-04-06
clifton,-1.162997,52.907145,2018-01-13
fareham,-1.167426,50.848386,2016-04-09
bestwoodvillage,-1.17117,53.022109,2017-01-28
braunstone,-1.179818,52.625958,2010-09-25
mansfield,-1.182082,53.175126,2012-09-29
hartlepool,-1.194077,54.677007,2014-04-26
beeston,-1.194677,52.914337,2014-04-05
leeonthesolent,-1.203818,50.801094,2015-07-04
stewart,-1.204634,54.539933,2012-07-07
dishleyloughborough,-1.2349936,52.7878202,2018-07-28
albert,-1.235018,54.564834,2008-05-31
rugby,-1.238397,52.373143,2016-12-10
didcot,-1.239956,51.617299,2015-02-21
whiteley,-1.247762,50.885518,2017-04-01
oxford,-1.259437,51.790515,2011-11-05
abingdon,-1.269221,51.669202,2011-05-07
newbury,-1.280959,51.377741,2012-02-11
longeaton,-1.2851,52.895341,2015-06-13
medina,-1.287031,50.711841,2011-05-07
brierleyforest,-1.294734,53.130461,2016-09-10
harcourthill,-1.296172,51.739361,2014-10-18
teesbarrage,-1.298704,54.5642,2012-06-23
cotsfordfields,-1.300721,54.759476,2018-06-23
winchester,-1.309599,51.070277,2013-04-27
rothervalley,-1.323423,53.338407,2013-05-11
pontefract,-1.332393,53.701331,2011-05-07
banbury,-1.332479,52.067715,2014-09-27
netleyabbey,-1.339045,50.866266,2012-03-17
rotherham,-1.34428,53.431603,2013-04-20
poolsbrook,-1.348507,53.258308,2016-04-02
shipleycountry,-1.359858,53.000968,2017-02-25
eastleigh,-1.3737899,50.9677078,2010-05-08
nostell,-1.389583,53.652775,2014-07-26
wetherby,-1.39219,53.9257,2015-03-21
southshields,-1.394577,54.988646,2013-04-20
southampton,-1.410584,50.928304,2012-07-07
sunderland,-1.413331,54.882038,2009-10-10
sheffieldcastle,-1.4326,53.368633,2013-08-03
concord,-1.434445,53.426642,2011-03-19
northallerton,-1.435328,54.348382,2015-08-01
whitleybay,-1.450624,55.053399,2012-06-16
templenewsam,-1.454616,53.781358,2013-02-02
graves,-1.466675,53.335742,2012-04-14
sedgefield,-1.46852,54.655389,2012-03-17
bedworth,-1.470312,52.475939,2018-02-17
rothwell,-1.471544,53.750941,2017-07-29
barnsley,-1.488025,53.542985,2011-01-22
roundhay,-1.499355,53.837614,2011-04-23
hillsborough,-1.500578,53.407946,2013-02-02
markeaton,-1.505878,52.934582,2013-04-27
andover,-1.508431,51.220889,2011-07-16
leamington,-1.509418,52.290738,2011-04-23
newbigginbythesea,-1.510234,55.18484,2017-10-14
wakefieldthornes,-1.510234,53.672917,2014-09-20
sheffieldhallam,-1.511006,53.367762,2010-07-10
witney,-1.51482,51.791275,2018-03-10
coventry,-1.522121,52.391211,2010-02-06
harrogate,-1.524739,53.991057,2012-01-21
risingsun,-1.5290955,55.019374,2016-06-04
conkers,-1.539159,52.733329,2011-04-16
lymingtonwoodside,-1.545457,50.748214,2016-07-09
crossflatts,-1.556067,53.773548,2013-03-30
middletonwoods,-1.55707,53.75196,2018-04-28
darlingtonsouthpark,-1.557999,54.514916,2012-12-15
woodhousemoor,-1.558127,53.810725,2007-10-06
durham,-1.56241,54.7753,2011-08-13
riverside,-1.563535,54.855194,2012-07-14
windynook,-1.567998,54.93968,2017-12-02
fountainsabbey,-1.577826,54.112452,2014-03-01
druridgebay,-1.5798,55.293877,2014-08-09
armley,-1.5954638,53.8016013,2018-06-30
gateshead,-1.604347,54.945571,2012-02-18
newcastle,-1.620526,54.989409,2010-01-16
bramley,-1.634774,53.813524,2015-06-13
rosliston,-1.639334,52.754545,2016-03-12
brockenhurst,-1.642381,50.808308,2013-05-25
hackworth,-1.647177,54.629785,2013-03-09
dewsbury,-1.647584,53.688816,2012-06-23
catterick,-1.649558,54.387024,2017-06-17
oakwellhall,-1.670635,53.740707,2014-07-19
bakewell,-1.675265,53.230855,2018-01-06
kingsburywater,-1.692796,52.560699,2013-07-20
stratforduponavon,-1.701442,52.185465,2016-02-20
marlboroughcommon,-1.732506,51.424492,2018-09-22
gibside,-1.7327284,54.919401,2014-02-22
brueton,-1.767576,52.408859,2010-07-24
bradford,-1.771803,53.812612,2010-04-17
hortonpark,-1.775386,53.782499,2015-05-30
brighouse,-1.778144,53.706075,2016-09-03
salisbury,-1.789945,51.061924,2015-06-06
huddersfield,-1.79723,53.648924,2011-04-02
bournemouth,-1.833429,50.734663,2013-08-24
blackhill,-1.839545,54.858097,2013-07-13
moorsvalley,-1.849421,50.851205,2015-11-07
suttonpark,-1.860654,52.559809,2018-08-18
swindon,-1.861582,51.563519,2010-03-06
prudhoeriverside,-1.863175,54.968075,2016-11-12
halifax,-1.8772006,53.7318109,2015-03-07
cannon-hill,-1.905742,52.44955,2010-08-28
perryhall,-1.910607,52.52429,2014-11-22
arrowvalley,-1.911278,52.304779,2012-07-14
cliffecastle,-1.912925,53.875025,2018-09-15
glossop,-1.940299,53.448644,2015-09-26
evesham,-1.958098,52.090173,2015-03-21
poole,-1.967196,50.719069,2011-04-02
walsall,-1.968795,52.589303,2012-03-10
sandwellvalley,-1.9731188,52.5195634,2017-11-11
cirencester,-1.99249,51.710275,2018-02-03
cannockchase,-1.995446,52.737467,2016-11-19
uptonhouse,-2.013427,50.73488,2017-06-03
skipton,-2.031655,53.961969,2013-09-07
lymepark,-2.052555,53.341533,2014-02-22
marple,-2.058649,53.404748,2012-05-26
cheltenham,-2.073669,51.910047,2013-02-16
stamfordpark,-2.0760298,53.4915691,2015-05-02
hyde,-2.076534,53.457127,2017-01-07
oldham,-2.103968,53.534072,2010-07-24
chippenham,-2.107229,51.457644,2014-04-12
macclesfield,-2.13021,53.251416,2018-04-28
dudley,-2.134491,52.490052,2017-01-07
melksham,-2.135677,51.37768,2017-12-16
watergrove,-2.137184,53.662544,2014-06-07
woodbank,-2.139223,53.410721,2009-08-22
wolverhampton,-2.139909,52.589401,2013-02-02
tewkesbury,-2.157987,51.989657,2015-07-04
chaddertonhall,-2.1585485,53.5540631,2016-04-23
bramhall,-2.165787,53.374855,2008-04-19
hanley,-2.176065,53.014396,2011-09-24
blandford,-2.177353,50.868974,2014-07-26
pendle,-2.18224,53.863802,2014-05-10
worcester,-2.183533,52.188825,2011-06-18
burnage,-2.208853,53.40746,2012-07-21
cheadlehulme,-2.21199,53.379119,2014-06-28
burnley,-2.218766,53.777187,2012-06-02
southmanchester,-2.225118,53.447018,2009-11-14
congleton,-2.22971,53.158737,2012-12-15
gloucesternorth,-2.2317052,51.8783124,2015-10-10
worcesterpitchcroft,-2.2320593,52.2016647,2017-06-10
wilmslow,-2.2322202,53.3313663,2015-04-11
southwickcountrypark,-2.233958,51.303897,2011-09-03
thewammy,-2.237842,53.017907,2018-03-24
gloucestercity,-2.24314,51.85871,2018-02-24
heaton,-2.254686,53.533038,2009-06-20
kingsway,-2.272893,51.821057,2015-06-06
wythenshawe,-2.281809,53.403264,2011-08-06
stonehouse,-2.288917,51.75334,2016-07-23
stretford,-2.290231,53.446107,2015-11-14
salewater,-2.29452,53.42959,2017-10-07
bathskyline,-2.332234,51.368003,2014-10-04
henstridgeairfield,-2.35276,50.985814,2018-09-08
wotton,-2.36846,51.632862,2016-10-22
worsleywoods,-2.369871,53.499841,2012-03-03
wyreforest,-2.369936,52.36504,2015-08-29
hyndburn,-2.378004,53.781029,2017-10-21
clitheroecastle,-2.394731,53.870336,2018-05-19
chippingsodbury,-2.395706,51.544814,2014-02-22
bolton,-2.399397,53.574977,2011-02-05
newent,-2.410078,51.926534,2013-03-09
telford,-2.444872,52.670287,2013-02-16
weymouth,-2.452655,50.630246,2013-08-31
crewe,-2.470129,53.098413,2018-02-17
pomphreyhill,-2.478533,51.479111,2014-03-01
northwich,-2.505763,53.269358,2018-03-31
witton,-2.517017,53.740583,2015-08-29
lydney,-2.526491,51.721605,2016-01-02
thornbury,-2.530107,51.606369,2017-11-18
sheptonmallet,-2.542466,51.187504,2017-04-29
penningtonflash,-2.542992,53.489654,2011-03-12
eastville,-2.554332,51.475456,2017-11-18
warrington,-2.57535,53.379386,2014-01-25
forest-of-dean,-2.602923,51.808416,2010-04-24
haighwoodland,-2.609339,53.572696,2015-10-31
ashton-court,-2.64895,51.445074,2011-04-23
cuerdenvalley,-2.657189,53.709866,2013-08-10
delamere,-2.675729,53.232987,2013-03-02
phoenix,-2.6865864,53.3402264,2017-01-28
preston,-2.698088,53.752365,2012-05-12
yeovilmontacute,-2.70843,50.950154,2013-09-07
penrith,-2.718387,54.656978,2014-02-08
hereford,-2.723987,52.0703,2014-10-11
street,-2.72911,51.129445,2018-05-05
widnes,-2.7303489,53.3743368,2015-01-17
sthelens,-2.743964,53.463168,2014-07-05
shrewsbury,-2.763205,52.706056,2013-09-28
ludlow,-2.773072,52.353272,2016-02-13
lancaster,-2.781188,54.045676,2016-01-09
knowsley,-2.81155,53.41076,2016-12-10
ormskirk,-2.867056,53.557043,2014-03-29
croxtethhall,-2.89185,53.442193,2015-03-14
chester,-2.902343,53.207684,2016-07-09
ellesmereport,-2.903008,53.27186,2014-10-18
princes,-2.955328,53.386272,2011-03-26
fellfoot,-2.957253,54.272542,2014-10-18
carlisle,-2.960472,54.88568,2013-01-19
lythamhall,-2.974613,53.743784,2015-11-28
southport,-2.98517,53.65613,2016-06-11
burnhamandhighbridge,-2.989848,51.226224,2015-06-20
blackpool,-3.024286,53.812601,2017-02-04
crosby,-3.04671,53.482683,2015-11-14
birkenhead,-3.0484643,53.3962046,2015-07-18
seaton,-3.072835,50.703185,2016-11-12
ford,-3.08652,54.19957,2018-08-11
keswick,-3.112993,54.608018,2014-04-05
longrunmeadow,-3.120375,51.019262,2013-10-05
barrow,-3.219144,54.118276,2011-09-24
whinlatterforest,-3.22547,54.615129,2018-01-13
millom,-3.268773,54.214143,2016-12-17
exmouth,-3.412399,50.614686,2017-12-23
minehead,-3.456209,51.208416,2016-08-13
killerton,-3.463268,50.793458,2011-04-30
teignmouthpromenade,-3.494937,50.544426,2018-09-29
exeterriverside,-3.516397,50.707765,2014-08-02
workington,-3.539727,54.647169,2013-06-22
torbayvelopark,-3.567231,50.42363,2016-12-31
whitehaven,-3.573732,54.524693,2018-06-30
parke,-3.693423,50.597132,2014-04-05
barnstaple,-4.056444,51.07201,2013-01-05
plymvalley,-4.078621,50.409365,2012-09-22
mountedgcumbe,-4.175612,50.354434,2016-01-30
bideford,-4.204363,51.023372,2016-04-02
tamartrails,-4.205155,50.534679,2016-10-29
tamarlakes,-4.438219,50.884734,2014-10-11
lanhydrock,-4.689188,50.439195,2014-01-18
edenproject,-4.744621,50.361518,2017-11-11
trelissick,-5.028251,50.217327,2016-12-03
heartlands,-5.271485,50.224207,2018-04-14
penrose,-5.282042,50.095752,2015-03-28
fireservicecollege,-1.675564,51.990688,2018-12-08
isabeltrail,-2.1259999,52.80824,2018-12-08
kewwoods,-2.996197,53.629766,2018-12-15
woolacombedunes,-4.209991,51.159251,2018-12-16
churchfieldsfarm,-2.183899,52.252007,2018-12-29
